URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Площадь участка,Местоположение,Коммуникации,Разное,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена
,"Участок, 12 соток",Чуйская область,Бишкек,Гагарина,$ 418 000,от агента,12 соток,вдоль трассы,"свет, вода, канализация","ровный, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 12 соток",Чуйская область,Бишкек,Боталиева - Тулебердиева,$ 71 500,от агента,12 соток,в городе,"свет, газ, канализация","ровный, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 10 соток",Чуйская область,Бишкек,Махатма Ганди - БЧК,$ 175 000,от агента,10 соток,в городе,"свет, газ, вода, канализация",дом,красная книга,нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,Рабочий Городок,$ 138 000,от агента,6 соток,в городе,"свет, газ, вода, канализация",дом,красная книга,нет,нет,обмен не предлагать
,"Участок, 9 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 195 000,от агента,9 соток,в городе,"свет, газ, вода, канализация",дом,красная книга,нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Парк Панфилова/Спартак,$ 178 000,от агента,5 соток,в городе,"свет, газ, вода, канализация",дом,красная книга,нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,Дордой ж/м,$ 185 000,от агента,6 соток,в городе,"свет, газ, вода, канализация",дом,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 55 000,от агента,4 сотки,в городе,"свет, газ, вода, канализация",дом,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4.5 сотки",Чуйская область,Бишкек,Завод Кока-Кола,$ 199 000,от агента,4.5 сотки,в городе,"свет, газ, вода, канализация","огорожен, дом, времянка","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4.3 сотки",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 43 000,от агента,4.3 сотки,в городе,"свет, отопление, вода","огорожен, дом, времянка","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Оскон-Ордо ж/м,$ 62 000,от собственника,5 соток,в городе,"свет, вода","ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 180 000,от агента,8 соток,в городе,"свет, вода","ровный, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8.2 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 220 000,от агента,8.2 соток,в городе,"свет, вода","ровный, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 9.12 соток",Чуйская область,Бишкек,Гагарина,$ 430 000,от собственника,9.12 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","сад, огорожен, госакт, дом, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,с. Бир-Булак,,$ 82 000,от собственника,7 соток,вдоль трассы,"свет, вода, интернет","госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 16 соток",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 695 000,от собственника,16 соток,в городе,"свет, газ, интернет, вода, канализация, телефон","хозпостройки, огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 72 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 205 000,от собственника,72 сотки,в городе,"свет, газ, вода, канализация","огорожен, госакт, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 10 соток",Чуйская область,с. Новопокровка,,$ 105 000,от собственника,10 соток,в городе,"свет, газ, вода, канализация",времянка,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,Ак-Орго ж/м,$ 100 000,от собственника,5 соток,в городе,"свет, газ, вода, канализация","огорожен, госакт, времянка, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,Матросова,$ 300 000,от агента,5 соток,в городе,"свет, газ, вода, канализация","огорожен, ровный, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 50 соток",Чуйская область,Бишкек,Московская - Уметалиева,$ 3 500 000,от агента,50 соток,в городе,"свет, газ, вода, канализация",все документы,"договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 8 соток",с. Арашан,Байчечекей 50/Атакулова курманбубу,,$ 110 000,от собственника,8 соток,в предгорьях,"свет, газ, вода, канализация","ровный, удобный въезд","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,с. Сары-Джон,,$ 18 500,от собственника,4 сотки,в дачном массиве,"интернет, телефон, свет","сад, хозпостройки, огорожен, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен на авто
,"Участок, 212 соток",Чуйская область,с. Байтик,,$ 150 000,от агента,212 соток,в дачном массиве,свет,"удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен на авто
,"Участок, 5.5 соток",д/п Приборист,Панорама 128,,$ 50 000,от агента,5.5 соток,в дачном массиве,свет,"удобно под коммерцию, ровный, удобный въезд, все документы",красная книга,нет,нет,обмен на авто
,"Участок, 200 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 500 000,от собственника,200 соток,в городе,свет,"удобно под коммерцию, ровный, удобный въезд, все документы",зеленая книга,нет,нет,обмен на авто
,"Участок, 100 соток",Иссык-Кульская область,с. Кызыл-Туу,,$ 200 000,от собственника,100 соток,возле водоема,свет,"удобно под коммерцию, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен на авто
,"Участок, 12 соток",Иссык-Кульская область,с. Тамчы,,$ 48 000,от собственника,12 соток,возле водоема,свет,"удобно под коммерцию, удобный въезд, все документы","технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 8 соток",с. Новопокровка,Западная 9/Белинская,,$ 70 000,от собственника,8 соток,в пригороде,"свет, газ, вода, канализация",хозпостройки,"договор купли-продажи, технический паспорт",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",с. Манас,Семетей 3,,$ 16 500,от собственника,4 сотки,в пригороде,"свет, газ, вода, канализация",все документы,красная книга,нет,есть,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 40 000,от собственника,5 соток,в городе,"свет, вода",все документы,технический паспорт,нет,есть,рассмотрю варианты
,"Участок, 14 соток",Чуйская область,Бишкек,Карла Маркса,$ 1 700 000,от собственника,14 соток,в пригороде,"свет, газ, интернет, отопление, вода, телефон, канализация",все документы,красная книга,нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 185 000,от собственника,8 соток,в городе,"вода, канализация, свет","времянка, огорожен, все документы","красная книга, технический паспорт",нет,есть,рассмотрю варианты
,"Участок, 7 соток",с. Заречное,Заречная,,$ 150 000,от агента,7 соток,в городе,"вода, канализация, свет","времянка, огорожен, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,с. Арашан,,$ 80 000,от собственника,7 соток,в городе,"вода, канализация, свет","времянка, огорожен, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 20 соток",Чуйская область,Бишкек,Западный автовокзал/Береговая,$ 360 000,от агента,20 соток,в городе,"вода, канализация, свет","времянка, огорожен, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 370 000,от собственника,8 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","сад, огорожен, госакт, времянка, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 40 соток",Ошская область,Ош,,$ 650 000,от собственника,40 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","огорожен, сад, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки","красная книга, технический паспорт",есть,есть,с доплатой покупателя
,"Участок, 4 сотки",с. Манас,Ж/м Бугу-Эне-Багыш,,$ 11 000,от собственника,4 сотки,в пригороде,"свет, вода","госакт, ровный, все документы",красная книга,нет,нет,с доплатой покупателя
,"Участок, 4 сотки",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 55 000,от агента,4 сотки,в пригороде,"свет, вода","удобно под коммерцию, ровный, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 8 соток",Иссык-Кульская область,с. Булан-Соготту,,$ 22 000,от собственника,8 соток,в пригороде,"свет, вода","госакт, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 7.5 соток",Чуйская область,Бишкек,Ден Сяопина - Фучика 45,$ 80 000,от собственника,7.5 соток,в городе,"свет, газ, интернет, телефон, вода, канализация","огорожен, все документы, возможна аренда",красная книга,нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Лебединовка,$ 280 000,от собственника,8 соток,в городе,"свет, интернет, вода","огорожен, все документы, возможна аренда","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 150 000,от собственника,5 соток,в городе,"свет, газ, вода, канализация","все документы, ровный, дом, удобный въезд, госакт, сад, времянка","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 3 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 135 000,от собственника,3 сотки,в городе,"свет, газ, вода, канализация","все документы, ровный, дом, удобный въезд, госакт, сад, времянка","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,69-га,$ 74 000,от агента,5 соток,в городе,"свет, газ, вода, канализация","все документы, ровный, дом, удобный въезд, госакт, сад, времянка",технический паспорт,нет,нет,обмен не предлагать
,"Участок, 3.5 сотки",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 80 000,от агента,3.5 сотки,в городе,"свет, газ, вода, канализация","все документы, ровный, дом, удобный въезд, госакт, сад, времянка","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 60 000,от агента,4 сотки,в городе,"свет, вода","огорожен, времянка, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Таатан,$ 250 000,от агента,8 соток,в городе,"свет, газ, вода, канализация","госакт, времянка, хозпостройки",красная книга,нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м,$ 108 000,от собственника,5 соток,в городе,"свет, газ, интернет, вода","огорожен, времянка, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 400 соток",Чуйская область,Бишкек,Учкун ж/м,$ 45 000,от собственника,400 соток,в городе,"свет, интернет, вода","госакт, ровный, удобный въезд, все документы",красная книга,нет,есть,обмен не предлагать
,"Участок, 50 соток",Иссык-Кульская область,с. Кош-Коль,,$ 55 000,от собственника,50 соток,в городе,"свет, интернет, вода","госакт, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 42 сотки",Токмок,3 микрорайон 3,,$ 420 000,от собственника,42 сотки,в городе,"свет, вода, канализация",все документы,технический паспорт,нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Тунгуч 44,$ 56 500,от агента,4 сотки,вдоль трассы,"свет, вода",все документы,красная книга,нет,есть,рассмотрю варианты
,"Участок, 8 соток",с. Беш-Кунгей,Беш-Күнгөй,,$ 135 000,от собственника,8 соток,вдоль трассы,"свет, газ, вода, телефон","удобный въезд, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 20 соток",Иссык-Кульская область,с. Григорьевка,,$ 25 000,от собственника,20 соток,вдоль трассы,"свет, газ, вода, телефон","удобный въезд, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 5.49 соток",Ошская область,Ош,,$ 144 000,от агента,5.49 соток,в городе,"свет, газ, вода, телефон","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,с доплатой покупателя
,"Участок, 100 соток",Иссык-Кульская область,с. Тамчы,,$ 29 900,от собственника,100 соток,вдоль трассы,"свет, газ, вода, телефон","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 123 500,от агента,4 сотки,вдоль трассы,"свет, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 32 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 1 900 000,от агента,32 сотки,вдоль трассы,"газ, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,Нижний Токольдош,$ 220 000,от агента,5 соток,вдоль трассы,"свет, газ, вода, канализация",удобно под коммерцию,красная книга,нет,есть,рассмотрю варианты
,"Участок, 4.6 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 158 000,от агента,4.6 сотки,в городе,"свет, газ, вода, канализация",удобно под коммерцию,"красная книга, договор купли-продажи, технический паспорт",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 55 000,от агента,4 сотки,в городе,"свет, вода",удобно под коммерцию,"договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 35 соток",Иссык-Кульская область,с. Кара-Ой,,$ 220 000,от агента,35 соток,в городе,"свет, вода","удобно под коммерцию, удобный въезд, все документы, ровный","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 1540 соток",Чуйская область,Кара-Балта,,$ 150 000,от агента,1540 соток,вдоль трассы,"свет, вода","огорожен, удобно под коммерцию, госакт, хозпостройки","зеленая книга, красная книга",нет,есть,рассмотрю варианты
,"Участок, 877 соток",Чуйская область,Бишкек,с. Маевка,$ 4 385 000,от агента,877 соток,вдоль трассы,"свет, газ, вода, канализация","все документы, удобно под коммерцию, госакт, огорожен, хозпостройки, ровный","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Оскон-Ордо ж/м,$ 45 000,от агента,4 сотки,в городе,"свет, вода","все документы, удобно под коммерцию, госакт, огорожен, хозпостройки, ровный","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 18 соток",с. Ленинское,Алма Атинская,,$ 230 000,от собственника,18 соток,в городе,"свет, вода","все документы, удобно под коммерцию, госакт, огорожен, хозпостройки, ровный","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,с. Новопокровка,,$ 55 000,от агента,7 соток,в городе,"свет, вода","все документы, удобно под коммерцию, госакт, огорожен, хозпостройки, ровный","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м,$ 200 000,от собственника,6 соток,в городе,"свет, газ, вода, канализация","фундамент, хозпостройки, огорожен, госакт, удобно под коммерцию, времянка, ровный, удобный въезд, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 8 соток",Иссык-Кульская область,с. Чырпыкты,,$ 15 000,от собственника,8 соток,в городе,"свет, газ, вода, канализация",все документы,красная книга,нет,нет,рассмотрю варианты
,"Участок, 50 соток",Чуйская область,Бишкек,Ак-Жар ж/м,$ 160 000,от собственника,50 соток,вдоль трассы,"свет, газ, вода, канализация",все документы,зеленая книга,нет,нет,рассмотрю варианты
,"Участок, 39 соток",Чуйская область,Бишкек,с. Аламудун,$ 100 000,от агента,39 соток,вдоль трассы,"свет, газ, вода, канализация",все документы,зеленая книга,нет,нет,рассмотрю варианты
,"Участок, 8.5 соток",Чуйская область,Бишкек,с. Маевка,$ 195 000,от собственника,8.5 соток,вдоль трассы,"свет, газ, интернет, отопление, вода","удобно под коммерцию, дом","договор купли-продажи, договор дарения",нет,нет,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,с. Заречное,,$ 75 000,от собственника,5 соток,вдоль трассы,"свет, газ, интернет, отопление, вода","удобно под коммерцию, дом","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 9 соток",Чуйская область,Бишкек,Токольдош ж/м,$ 145 000,от собственника,9 соток,вдоль трассы,"газ, интернет, отопление, вода, канализация","удобно под коммерцию, дом","договор дарения, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 7.5 соток",Чуйская область,Бишкек,Тоголок-Молдо - БЧК,$ 550 000,от агента,7.5 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать
,"Участок, 20 соток",с. Кара Джыгач,с. Кара-Жыгач,,$ 240 000,от собственника,20 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","госакт, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 13.27 соток",Чуйская область,Бишкек,Лебединовка,$ 495 000,от собственника,13.27 соток,в городе,"свет, отопление, телефон, вода","дом, времянка, все документы, удобно под коммерцию, госакт, хозпостройки",красная книга,нет,нет,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,БГУ,$ 165 000,от собственника,5 соток,в городе,"свет, отопление, телефон, вода","дом, времянка, все документы, удобно под коммерцию, госакт, хозпостройки",красная книга,нет,нет,рассмотрю варианты
,"Участок, 6 соток",Иссык-Кульская область,с. Бактуу-Долоноту,,$ 15 500,от собственника,6 соток,вдоль трассы,"свет, отопление, телефон, вода","дом, времянка, все документы, удобно под коммерцию, госакт, хозпостройки",договор купли-продажи,нет,нет,рассмотрю варианты
,"Участок, 50 соток",Чуйская область,с. Кунтуу,,$ 55 000,от собственника,50 соток,вдоль трассы,"свет, отопление, телефон, вода","все документы, удобный въезд, ровный",зеленая книга,нет,нет,с доплатой покупателя
,"Участок, 7 соток",Чуйская область,с. им. С. Чокморова,,$ 69 000,от собственника,7 соток,вдоль трассы,"вода, свет","все документы, удобный въезд, ровный",красная книга,нет,нет,с доплатой покупателя
,"Участок, 4 сотки",Сокулук,Свердлова 39 А/Шопокова,,$ 50 000,от собственника,4 сотки,вдоль трассы,"свет, газ, отопление, вода, канализация","все документы, удобный въезд, ровный",красная книга,нет,нет,с доплатой покупателя
,"Участок, 7.7 соток",Токмок,Гагарина 144А,,$ 60 000,от собственника,7.7 соток,вдоль трассы,"отопление, вода",все документы,"договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 120 соток",Чуйская область,Бишкек,Ден Сяопина - Фучика,$ 2 640 000,от агента,120 соток,вдоль трассы,"отопление, вода",все документы,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 185 000,от собственника,6 соток,вдоль трассы,"свет, газ, интернет, вода",все документы,"красная книга, технический паспорт, акт ввода в эксплуатацию",нет,есть,обмен не предлагать
,"Участок, 10 соток",Чуйская область,с. Новопокровка,,$ 150 000,от собственника,10 соток,вдоль трассы,"свет, газ, вода","ровный, удобный въезд",красная книга,нет,есть,обмен не предлагать
,"Участок, 6.5 соток",Чуйская область,с. Новопокровка,,$ 65 000,от собственника,6.5 соток,вдоль трассы,"свет, газ, интернет, вода","ровный, все документы",красная книга,нет,есть,обмен не предлагать
,"Участок, 28 соток",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 490 000,от собственника,28 соток,в городе,"свет, интернет, газ, отопление, вода, телефон, канализация","ровный, все документы","договор купли-продажи, красная книга, технический паспорт",нет,есть,рассмотрю варианты
,"Участок, 60 соток",Чуйская область,с. Кой-Таш,,$ 615 000,от собственника,60 соток,в предгорьях,"свет, интернет, газ, отопление, вода, телефон, канализация","ровный, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 59 соток",Чуйская область,Токмок,,$ 90 000,от собственника,59 соток,в предгорьях,"свет, интернет, газ, отопление, вода, телефон, канализация","ровный, все документы",красная книга,нет,есть,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,Алтын-Ордо ж/м,$ 130 000,от собственника,5 соток,в предгорьях,"свет, газ, вода, канализация",фундамент,красная книга,нет,нет,обмен не предлагать
,"Участок, 7.86 соток",Кант,Жакыпова 73,,$ 70 000,от собственника,7.86 соток,в предгорьях,"свет, газ, интернет, вода",дом,красная книга,нет,нет,рассмотрю варианты
,"Участок, 8 соток",Чуйская область,Бишкек,Ынтымак ж/м,$ 330 000,от собственника,8 соток,в городе,"свет, газ, интернет, вода",дом,красная книга,нет,нет,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 250 000,от собственника,6 соток,в городе,"свет, газ, интернет, вода",дом,"договор купли-продажи, красная книга, технический паспорт",нет,нет,рассмотрю варианты
,"Участок, 9 соток",Чуйская область,Бишкек,Таатан,$ 550 000,от собственника,9 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, огорожен, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Карла Маркса,$ 650 000,от агента,8 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 14 соток",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 680 000,от собственника,14 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, сад, дом, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Иссык-Кульская область,с. Бостери,,$ 20 000,от собственника,5 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, сад, дом, удобный въезд, все документы",зеленая книга,нет,нет,обмен на авто
,"Участок, 8 соток",Чуйская область,Бишкек,Тендик ж/м,$ 130 000,от собственника,8 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","хозпостройки, сад, дом, удобный въезд, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 3 сотки",с. Новопокровка,Алматинская 113 113/Шефченко,,$ 37 000,от собственника,3 сотки,вдоль трассы,"свет, газ, интернет, вода, канализация","хозпостройки, сад, дом, удобный въезд, все документы",договор купли-продажи,нет,нет,рассмотрю варианты
,"Участок, 2 сотки",Чуйская область,Бишкек,Лебединовка,$ 159 000,от собственника,2 сотки,вдоль трассы,"свет, газ, вода, интернет, телефон, канализация","хозпостройки, сад, дом, удобный въезд, все документы",договор купли-продажи,нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Пишпек ж/м,$ 105 000,от агента,5 соток,вдоль трассы,"свет, газ, вода","огорожен, времянка, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 12 соток",Иссык-Кульская область,с. Тамчы,,$ 97 000,от собственника,12 соток,возле водоема,"интернет, вода, свет, канализация","удобно под коммерцию, дом, возможна аренда, все документы, ровный",красная книга,нет,нет,обмен не предлагать
,"Участок, 7 соток",Чуйская область,Бишкек,Тенир-Тоо м-н,$ 200 000,от собственника,7 соток,возле водоема,"свет, газ, канализация",все документы,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 5.8 соток",Чуйская область,Бишкек,Пишпек ж/м,$ 105 000,от агента,5.8 соток,возле водоема,"газ, свет, вода, канализация",удобно под коммерцию,красная книга,нет,нет,рассмотрю варианты
,"Участок, 27 соток",Иссык-Кульская область,с. Булан-Соготту,,$ 40 000,от собственника,27 соток,вдоль трассы,"свет, вода","удобно под коммерцию, ровный, сад, все документы",красная книга,есть,нет,рассмотрю варианты
,"Участок, 4.2 сотки",Чуйская область,Бишкек,Карла Маркса,$ 235 000,от собственника,4.2 сотки,вдоль трассы,"свет, газ, интернет, вода, телефон, канализация","госакт, все документы, дом","договор купли-продажи, технический паспорт, красная книга",есть,нет,рассмотрю варианты
,"Участок, 10 соток",Нарынская область,Кочкорка,,$ 32 000,от собственника,10 соток,в пригороде,"свет, вода","хозпостройки, огорожен, дом, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 400 соток",Чуйская область,с. Милянфан,,$ 100 000,от собственника,400 соток,в пригороде,вода,все документы,"договор купли-продажи, зеленая книга",нет,нет,рассмотрю варианты
,"Участок, 300 соток",Иссык-Кульская область,с. Кызыл-Суу,,$ 200 000,от собственника,300 соток,вдоль трассы,вода,все документы,"договор купли-продажи, зеленая книга",нет,нет,обмен на авто
,"Участок, 8 соток",Чуйская область,Бишкек,с. Нижняя Ала-Арча 245,$ 170 000,от собственника,8 соток,вдоль трассы,"газ, интернет, свет, отопление, вода, телефон, канализация",все документы,"договор купли-продажи, зеленая книга",нет,нет,обмен на авто
,"Участок, 16 соток",Чуйская область,с. Арчалы,,$ 150 000,от собственника,16 соток,в пригороде,"газ, интернет, свет, отопление, вода, телефон, канализация",все документы,красная книга,нет,нет,обмен на авто
