URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Дом,Кол-во этажей,Площадь,Площадь участка,Отопление,Состояние,Телефон,Интернет,Санузел,Канализация,Питьевая вода,Электричество,Газ,Мебель,Пол,Безопасность,Высота потолков,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Разное,Серия,Входная дверь,Местоположение,Коммуникации,Парковка
,"Дом, 6 и более комнат, 320 м2",Чуйская область,Бишкек,Магистраль,$ 365 000,от агента,кирпичный,2,320 м2,4.4 сотки,на газе,евроремонт,есть,оптика,2 с/у и более,возможно подведение,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"сигнализация, видеодомофон, видеонаблюдение",2.7 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, сад, хозпостройки, навес, сауна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 84 м2",Чуйская область,Бишкек,Лебединовка,$ 280 000,от собственника,кирпичный,1,"84 м2, кухня: 35 м2",8 соток,на газе,хорошее,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,"сигнализация, видеодомофон, охрана, видеонаблюдение",2.5 м.,"договор долевого участия, красная книга",есть,есть,обмен не предлагать,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 45 м2",Чуйская область,Бишкек,Матросова,$ 110 000,от собственника,"кирпичный, 1970 г.",1,"45 м2, жилая: 45 м2, кухня: 15 м2",1 сотка,на газе,среднее,нет,оптика,2 с/у и более,септик,скважина,есть,возможно подключение,частично меблирована,ламинат,"сигнализация, видеодомофон, охрана, видеонаблюдение",3 м.,"договор долевого участия, красная книга",есть,есть,обмен на авто,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 156 м2",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 122 000,от агента,кирпичный,1,"156 м2, жилая: 124 м2",4 сотки,на твердом топливе,хорошее,нет,adsl,совмещенный,септик,скважина,есть,возможно подключение,частично меблирована,ламинат,решетки на окнах,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 80 м2",Чуйская область,с. Луговое,,$ 85 000,от собственника,"кирпичный, 1990 г.",1,"80 м2, жилая: 55 м2, кухня: 8 м2",10 соток,на газе,хорошее,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"сигнализация, видеодомофон, охрана, видеонаблюдение",3 м.,"договор долевого участия, красная книга",есть,есть,обмен на авто,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 480 м2",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 155 000,от собственника,"монолитный, 2023 г.",4,"480 м2, жилая: 360 м2, кухня: 15 м2",4 сотки,без отопления,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"сигнализация, видеодомофон, охрана, видеонаблюдение",3 м.,"договор долевого участия, красная книга",есть,есть,обмен не предлагать,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 284 м2",Чуйская область,Бишкек,с. Новопавловка 84,$ 220 000,от собственника,"кирпичный, 2020 г.",2,"284 м2, жилая: 146 м2, кухня: 25 м2",9 соток,на газе,евроремонт,есть,adsl,2 с/у и более,возможно подведение,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, видеодомофон",2.7 м.,"красная книга, технический паспорт, договор дарения",есть,есть,обмен не предлагать,"пластиковые окна, сад, хозпостройки, навес, сауна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 275 м2",Чуйская область,Бишкек,КНУ,$ 550 000,от собственника,"пеноблочный, 2024 г.",2,"275 м2, жилая: 245 м2",6 соток,на газе,евроремонт,нет,проводной,2 с/у и более,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"видеодомофон, видеонаблюдение",290 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 120 м2",Чуйская область,Бишкек,Учкун ж/м 23,$ 149 000,от собственника,"кирпичный, 2012 г.",2,"120 м2, жилая: 80 м2, кухня: 20 м2",5 соток,на газе,евроремонт,нет,оптика,совмещенный,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,"видеодомофон, видеонаблюдение",2.6 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 100 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 220 000,от агента,кирпичный,1,100 м2,9 соток,на газе,хорошее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"сигнализация, видеодомофон, видеонаблюдение",2.1 м.,"технический паспорт, красная книга",нет,нет,рассмотрю варианты,хозпостройки,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 75 м2",Иссык-Кульская область,с. Кутургу 147,,$ 100 000,от собственника,"кирпичный, 1973 г.",1,75 м2,50 соток,на твердом топливе,под самоотделку (псо),есть,проводной,2 с/у и более,возможно подведение,центральное водоснабжение,есть,нет,полностью меблирована,дерево,"сигнализация, видеодомофон, видеонаблюдение",2.1 м.,"договор купли-продажи, красная книга, технический паспорт, свидетельство о праве на наследство",есть,есть,ключ на ключ,"пластиковые окна, сад, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 150 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 230 000,от агента,"кирпичный, 2020 г.",2,150 м2,4.2 сотки,на газе,евроремонт,возможно подключение,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,видеонаблюдение,2.9 м.,красная книга,нет,нет,обмен не предлагать,"пластиковые окна, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 75 м2",Чуйская область,Бишкек,Физкультурный,$ 85 000,от агента,кирпичный,1,75 м2,1 сотка,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,видеонаблюдение,2 м.,"договор купли-продажи, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 372 м2",Чуйская область,с. Байтик,,$ 855 600,от агента,"кирпичный, 2025 г.",2,"372 м2, жилая: 250 м2",8 соток,на газе,под самоотделку (псо),нет,оптика,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,пустая,линолеум,"домофон, сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",3.5 м.,"договор долевого участия, красная книга",есть,есть,обмен на авто,"пластиковые окна, баня, хозпостройки, навес, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 100 м2",с. Военно-Антоновка,Комсомольский 45/Фрунзе,,$ 55 000,от собственника,"кирпичный, 2015 г.",1,"100 м2, жилая: 60 м2, кухня: 15 м2",2 сотки,смешанное,хорошее,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,автономный,пустая,линолеум,кодовый замок,2 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 70 м2",Чуйская область,Бишкек,Аламединский рынок,$ 240 000,от собственника,кирпичный,1,"70 м2, жилая: 45 м2",8 соток,центральное,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"сигнализация, видеодомофон, видеонаблюдение",2 м.,"договор купли-продажи, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, баня, сад, хозпостройки, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 42.3 м2",Чуйская область,Бишкек,Лебединовка 55,$ 200 000,от собственника,"кирпичный, 1977 г.",1,"42.3 м2, жилая: 26.9 м2, кухня: 15.3 м2",13 соток,смешанное,евроремонт,возможно подключение,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,видеонаблюдение,2.9 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",нет,нет,обмен не предлагать,"пластиковые окна, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 106 м2",Чуйская область,Бишкек,Кызыл-Аскер ж/м,$ 98 000,от агента,"кирпичный, 1960 г.",2,106 м2,325 соток,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,линолеум,решетки на окнах,265 м.,"технический паспорт, красная книга, свидетельство о праве на наследство",нет,есть,обмен не предлагать,"пластиковые окна, баня, хозпостройки, навес, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 90 м2",Чуйская область,Бишкек,БГУ,$ 198 000,от собственника,"кирпичный, 1996 г.",1,"90 м2, жилая: 60 м2, кухня: 14 м2",5 соток,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, домофон",3 м.,"договор купли-продажи, технический паспорт",есть,есть,обмен на авто,"баня, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 40 м2",Чуйская область,Бишкек,Аламединский рынок,$ 84 000,от агента,"другое, 1985 г.",1,40 м2,3 сотки,на газе,хорошее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,кодовый замок,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, баня, сад, хозпостройки, навес, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 155 м2",Чуйская область,Бишкек,с. Чон-Арык,$ 260 000,от собственника,"кирпичный, 2015 г.",1,"155 м2, жилая: 72 м2, кухня: 24 м2",5 соток,на газе,хорошее,есть,оптика,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,решетки на окнах,2 м.,договор купли-продажи,есть,есть,обмен не предлагать,"сауна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 42 м2",Чуйская область,Бишкек,Алтын-Ордо ж/м,$ 135 000,от агента,кирпичный,1,42 м2,5 соток,на газе,хорошее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,ламинат,кодовый замок,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, баня, сад, хозпостройки, навес, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 82 м2",Чуйская область,Бишкек,Кызыл-Аскер ж/м,$ 75 000,от агента,"кирпичный, 2023 г.",3,"82 м2, жилая: 60 м2, кухня: 8 м2",2 сотки,на газе,евроремонт,возможно подключение,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, кодовый замок",3 м.,договор купли-продажи,есть,есть,с доплатой покупателя,"сауна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 2-комн., 100 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 119 500,от агента,кирпичный,1,100 м2,4 сотки,автономное,хорошее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,ламинат,кодовый замок,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, баня, сад, хозпостройки, навес, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 90 м2",Чуйская область,Бишкек,Ак-Босого ж/м,$ 76 500,от агента,кирпичный,2,90 м2,5.6 соток,автономное,хорошее,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,ковролин,решетки на окнах,3 м.,"технический паспорт, красная книга",есть,есть,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 146 м2",Чуйская область,Бишкек,с. Новопавловка,$ 115 000,от собственника,"кирпичный, 2013 г.",2,"146 м2, жилая: 130 м2",4 сотки,на газе,евроремонт,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, кодовый замок",2.9 м.,красная книга,есть,есть,с доплатой покупателя,"сауна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 200 м2",Ошская область,Кенеш с.,,$ 120 000,от собственника,"кирпичный, 2019 г.",2,"200 м2, жилая: 200 м2",6 соток,на твердом топливе,евроремонт,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,ламинат,"решетки на окнах, кодовый замок",2.9 м.,красная книга,есть,есть,с доплатой покупателя,"сауна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 110 м2",Чуйская область,Бишкек,Ак-Босого ж/м 76,$ 130 000,от собственника,"кирпичный, 2018 г.",1,"110 м2, жилая: 110 м2, кухня: 110 м2",110 соток,электрическое,евроремонт,есть,проводной,раздельный,возможно подведение,центральное водоснабжение,есть,возможно подключение,пустая,ламинат,кодовый замок,222 м.,красная книга,есть,есть,обмен не предлагать,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 100 м2",Чуйская область,Бишкек,с. Восток,$ 95 500,от собственника,"кирпичный, 2024 г.",1,"100 м2, жилая: 82 м2, кухня: 15 м2",4 сотки,на газе,под самоотделку (псо),возможно подключение,проводной,совмещенный,септик,скважина,есть,магистральный,пустая,ковролин,решетки на окнах,3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 250 м2",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 120 000,от собственника,"кирпичный, 2021 г.",2,"250 м2, жилая: 80 м2",4 сотки,без отопления,под самоотделку (псо),возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,ковролин,решетки на окнах,3 м.,договор купли-продажи,есть,есть,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 4 м2",Чуйская область,Бишкек,Ден Сяопина - Фучика,$ 85 000,от собственника,"другое, 1970 г.",1,"4 м2, жилая: 69 м2",4.35 сотки,на газе,хорошее,возможно подключение,оптика,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,видеонаблюдение,3 м.,красная книга,есть,есть,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 336 м2",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 350 000,от собственника,"кирпичный, 2022 г.",3,"336 м2, жилая: 236 м2, кухня: 31 м2",6 соток,на твердом топливе,евроремонт,есть,оптика,раздельный,септик,скважина,есть,нет,полностью меблирована,ламинат,видеонаблюдение,3.3 м.,"технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 75 м2",с. Сары-Джон,3 34/Поселок Радуга-Сад,,$ 72 500,от собственника,"кирпичный, 1999 г.",2,"75 м2, жилая: 75 м2",5 соток,электрическое,евроремонт,возможно подключение,оптика,раздельный,центральная,возможно подведение,есть,магистральный,полностью меблирована,дерево,видеонаблюдение,3 м.,"технический паспорт, красная книга",есть,есть,с доплатой покупателя,"пластиковые окна, баня, хозпостройки, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 114 м2",Иссык-Кульская область,с. Бает,,$ 285 000,от собственника,"монолитный, 2020 г.",2,"114 м2, жилая: 96 м2",3 сотки,электрическое,евроремонт,есть,оптика,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 97 м2",Чуйская область,с. Таш-Добо,,$ 117 000,от собственника,другое,2,97 м2,9 соток,электрическое,евроремонт,возможно подключение,оптика,раздельный,центральная,возможно подведение,есть,магистральный,полностью меблирована,дерево,видеонаблюдение,3 м.,"технический паспорт, красная книга",есть,есть,с доплатой покупателя,"пластиковые окна, баня, хозпостройки, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, свободная планировка, 85 м2",Иссык-Кульская область,с. Кара-Ой,,$ 72 000,от собственника,другое,2,85 м2,1 сотка,электрическое,хорошее,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,ковролин,решетки на окнах,3 м.,"технический паспорт, красная книга",есть,есть,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 140 м2",Чуйская область,Бишкек,Советская - Щербакова,$ 200 000,от агента,"монолитный, 2024 г.",1,140 м2,6 соток,на газе,евроремонт,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 180 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 188 000,от агента,"кирпичный, 2023 г.",1,"180 м2, жилая: 180 м2",5 соток,автономное,евроремонт,нет,оптика,раздельный,центральная,центральное водоснабжение,есть,автономный,частично меблирована,ламинат,решетки на окнах,3 м.,красная книга,нет,нет,обмен не предлагать,гараж,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 280 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 168 000,от собственника,кирпичный,2,280 м2,5 соток,электрическое,не достроено,возможно подключение,оптика,раздельный,центральная,возможно подведение,есть,магистральный,полностью меблирована,дерево,видеонаблюдение,3 м.,"технический паспорт, красная книга",есть,есть,с доплатой покупателя,"пластиковые окна, баня, хозпостройки, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 64 м2",Иссык-Кульская область,Каракол,,$ 100 000,от собственника,"кирпичный, 1970 г.",1,64 м2,5 соток,на твердом топливе,хорошее,есть,оптика,раздельный,септик,скважина,есть,нет,полностью меблирована,ламинат,решетки на окнах,3.3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"баня, сад, хозпостройки, навес, гараж, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 160 м2",Чуйская область,с. Новопокровка,,$ 150 000,от собственника,кирпичный,2,160 м2,10 соток,на твердом топливе,под самоотделку (псо),нет,adsl,совмещенный,септик,скважина,есть,возможно подключение,пустая,дерево,решетки на окнах,3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать,"хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 70 м2",с. Кожомкул,Крупская 45,,$ 65 800,от собственника,кирпичный,1,"70 м2, жилая: 61 м2, кухня: 8 м2",7 соток,на твердом топливе,среднее,нет,оптика,совмещенный,септик,центральное водоснабжение,есть,автономный,пустая,дерево,решетки на окнах,3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать,"хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 217 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 220 000,от агента,"другое, 2025 г.",1,217 м2,4 сотки,смешанное,евроремонт,нет,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,пустая,дерево,"видеодомофон, видеонаблюдение",3.3 м.,"технический паспорт, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 56 м2",Чуйская область,Бишкек,Советская - БЧК,$ 145 000,от агента,"кирпичный, 1961 г.",1,"56 м2, жилая: 50 м2",8 соток,смешанное,хорошее,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"видеодомофон, видеонаблюдение",2.8 м.,"договор купли-продажи, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 100 м2",Чуйская область,Бишкек,Нижний Токольдош,$ 104 000,от агента,кирпичный,1,100 м2,4 сотки,электрическое,евроремонт,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"видеодомофон, видеонаблюдение",2.8 м.,"договор купли-продажи, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 200 м2",Чуйская область,Бишкек,с. Кок-Джар,$ 175 000,от агента,"кирпичный, 2024 г.",2,200 м2,8 соток,на газе,под самоотделку (псо),нет,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,пустая,дерево,"видеодомофон, видеонаблюдение",3.3 м.,"договор купли-продажи, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 65 м2",Чуйская область,Бишкек,Кок-Жар ж/м,$ 148 000,от агента,"каркасно-щитовой, 2000 г.",1,"65 м2, жилая: 45 м2, кухня: 5 м2",4 сотки,на газе,среднее,есть,оптика,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"видеодомофон, видеонаблюдение",2.8 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",Чуйская область,с. Ленинское 37,,$ 132 000,от собственника,"кирпичный, 2012 г.",2,200 м2,8 соток,без отопления,среднее,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"видеодомофон, видеонаблюдение",2.8 м.,"договор купли-продажи, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 110 м2",Чуйская область,Бишкек,с. Маевка,$ 85 000,от собственника,"кирпичный, 1988 г.",1,"110 м2, жилая: 80 м2, кухня: 25 м2",4.2 сотки,смешанное,евроремонт,есть,оптика,совмещенный,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,линолеум,"видеодомофон, видеонаблюдение",2.8 м.,технический паспорт,есть,есть,обмен не предлагать,"пластиковые окна, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 100 м2",Чуйская область,Бишкек,Ак-Жар ж/м,$ 80 000,от собственника,"кирпичный, 2015 г.",1,100 м2,5 соток,на твердом топливе,хорошее,есть,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,"видеодомофон, видеонаблюдение",2.8 м.,"технический паспорт, красная книга",есть,есть,обмен не предлагать,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 330 м2",Чуйская область,Бишкек,Ынтымак ж/м,$ 615 000,от собственника,кирпичный,3,330 м2,16 соток,на газе,евроремонт,возможно подключение,оптика,2 с/у и более,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,паркет,"кодовый замок, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 180 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 110 000,от агента,кирпичный,2,180 м2,4 сотки,смешанное,хорошее,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,нет,пустая,дерево,"видеодомофон, видеонаблюдение",3 м.,договор долевого участия,нет,нет,рассмотрю варианты,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 130 м2",Чуйская область,Бишкек,Ала-Тоо м-н,$ 93 000,от собственника,"кирпичный, 2006 г.",1,"130 м2, жилая: 90 м2, кухня: 15 м2",5 соток,на газе,хорошее,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,пустая,ламинат,"кодовый замок, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"3 фазы, пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 153 м2",Иссык-Кульская область,с. Орнок,,$ 260 100,от собственника,"кирпичный, 2025 г.",2,"153 м2, жилая: 95 м2, кухня: 22 м2",2000 соток,электрическое,под самоотделку (псо),нет,оптика,2 с/у и более,центральная,центральное водоснабжение,есть,нет,пустая,дерево,"видеодомофон, видеонаблюдение",3 м.,договор долевого участия,есть,есть,рассмотрю варианты,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 215 м2",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 94 500,от агента,"кирпичный, 2024 г.",2,215 м2,4 сотки,автономное,под самоотделку (псо),нет,проводной,совмещенный,септик,центральное водоснабжение,есть,нет,частично меблирована,дерево,решетки на окнах,3 м.,"договор купли-продажи, красная книга",нет,нет,с доплатой покупателя,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
